+----+-----------+----------+----------+-------------+--------+--------+----------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|    |           |   i      |   f      |   e         |   l    |   s    |   t      |   h    |   n    |   w    |   b       |   g    |   r    |   a    |   k    |   d    |   c    |   o    |   u    |   -    |   +    |   *    |   /    |   <    |   >    |   =       |   1    |   2    |   3    |   4    |   5    |   6    |   7    |   8    |   9    |   0    |
| 20 | *T20      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 22 | T22       |    X     |    X     |    T23      |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 23 | T23       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    T24 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 24 | T24       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    T25 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 25 | *T25      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 27 | T27       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    T28 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 28 | *T28      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 29 | T29       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    T30 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 30 | T30       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    T31 |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 31 | T31       |    X     |    X     |    X        |    X   |    X   |    T32   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 32 | T32       |    T33   |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 33 | T33       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    T34 |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 34 | T34       |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    T35 |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 35 | T35       |    X     |    X     |    T36      |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 36 | *T36      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 37 | *T37      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
